# nom    volt          v-sd          freq           f-sd

-3.5,   -3.499964,   0.000000,      9.8108363,     0.00038958
-3.0,   -2.999970,   0.000001,      13.872166,     0.00007406
-2.5,   -2.499969,   0.000001,      19.611821,     0.0007006
-2.0,   -1.999941,   0.000001,      27.715545,     0.0013180
-1.9,   -1.899948,   0.000001,      29.698981,     0.0008567
-1.8,   -1.799965,   0.000001,      31.822886,     0.0007233
-1.7,   -1.699965,   0.000000,      34.105511,     0.0007898
-1.6,   -1.599941,   0.000000,      36.543388,     0.0014647
-1.5,   -1.499956,   0.000001,      39.160063,     0.0008243
-1.4,   -1.399979,   0.000001,      41.964740,     0.0011327
-1.3,   -1.299980,   0.000001,      44.962778,     0.0012979
-1.2,   -1.199947,   0.000001,      48.180259,     0.0009683
-1.1,   -1.0999472,  0.0000004,     51.625619,     0.0003109
-1.0,   -0.9999654,  0.0000006,     55.319816,     0.0009635
-0.9,   -0.8999886,  0.0000006,     59.277739,     0.001292
-0.8,   -0.7999528,  0.0000007,     63.518523,     0.001167
-0.7,   -0.6999593,  0.0000005,     68.062229,     0.001669
-0.6,   -0.5999659,  0.0000004,     72.932444,     0.001592
-0.5,   -0.4999576,  0.0000006,     78.144333,     0.002035
-0.4,   -0.3999476,  0.0000004,     83.731961,     0.002993
-0.3,   -0.2999424,  0.0000003,     89.722455,     0.001919
-0.2,   -0.1999730,  0.0000005,     96.132789,     0.001893
-0.1,   -0.09998963, 0.00000032,    102.99573,     0.003663
0.0,    0.000616,    0.00000378,    110.37096,     0.001367
0.0,    0.000016,     0.000001,     110.16106,     0.005264
0.1,    0.09998869,  0.00000039,    118.26086,     0.001949
0.0,    0.000016,     0.000001,     110.16106,     0.005264
0.1,    0.0999691,    0.0000005,    118.07251,     0.003528
0.2,    0.1999485,    0.0000009,    126.52928,     0.002549
0.3,    0.2999177,    0.0000005,    135.59693,     0.002413
0.4,    0.3999188,    0.0000004,    145.28681,     0.005297
0.5,    0.4999473,    0.0000004,    155.69336,     0.003325
0.6,    0.5999368,    0.0000004,    166.86009,     0.002340
0.7,    0.6999299,    0.0000007,    178.78204,     0.001748
0.8,    0.7999216,    0.0000004,    191.62913,     0.003131
0.9,    0.8999582,    0.0000006,    205.31931,     0.005321
1.0,    0.9999335,    0.0000005,    220.03440,     0.005389
1.1,    1.099916,     0.000000,     235.77722,     0.003568
1.2,    1.199916,     0.000000,     252.65850,     0.003597
1.3,    1.299949,     0.000001,     270.74456,     0.004945
1.4,    1.399947,     0.000001,     290.13032,     0.004617
1.5,    1.499926,     0.000000,     310.88954,     0.004490
1.6,    1.599911,     0.000000,     333.14579,     0.005786
